
2024/08/07 (16:20:14) | ===> btop++ v.1.3.2
2024/08/07 (16:20:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/07 (16:20:14) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/13 (12:15:23) | ===> btop++ v.1.3.2
2024/08/13 (12:15:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/13 (12:15:23) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/13 (19:42:46) | ===> btop++ v.1.3.2
2024/08/13 (19:42:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/13 (19:42:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/13 (19:45:38) | ===> btop++ v.1.3.2
2024/08/13 (19:45:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/13 (19:45:38) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/13 (21:02:07) | ===> btop++ v.1.3.2
2024/08/13 (21:02:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/13 (21:02:07) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/13 (21:09:32) | ===> btop++ v.1.3.2
2024/08/13 (21:09:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/13 (21:09:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/13 (21:09:47) | ===> btop++ v.1.3.2
2024/08/13 (21:09:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/13 (21:09:47) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/13 (21:14:44) | ===> btop++ v.1.3.2
2024/08/13 (21:14:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/13 (21:14:44) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/14 (01:48:22) | ===> btop++ v.1.3.2
2024/08/14 (01:48:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/14 (01:48:22) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/14 (18:13:12) | ===> btop++ v.1.3.2
2024/08/14 (18:13:12) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/14 (18:13:12) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/14 (18:50:06) | ===> btop++ v.1.3.2
2024/08/14 (18:50:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/14 (18:50:06) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/14 (18:59:50) | ===> btop++ v.1.3.2
2024/08/14 (18:59:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/14 (18:59:50) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/14 (19:00:37) | ===> btop++ v.1.3.2
2024/08/14 (19:00:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/14 (19:00:37) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/14 (19:00:39) | ===> btop++ v.1.3.2
2024/08/14 (19:00:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/14 (19:00:39) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/14 (19:39:37) | ===> btop++ v.1.3.2
2024/08/14 (19:39:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/14 (19:39:37) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/14 (19:41:09) | ===> btop++ v.1.3.2
2024/08/14 (19:41:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/14 (19:41:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/14 (21:08:45) | ===> btop++ v.1.3.2
2024/08/14 (21:08:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/14 (21:08:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/14 (21:10:22) | ===> btop++ v.1.3.2
2024/08/14 (21:10:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/14 (21:10:22) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/14 (21:13:47) | ===> btop++ v.1.3.2
2024/08/14 (21:13:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/14 (21:13:47) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/14 (21:20:23) | ===> btop++ v.1.3.2
2024/08/14 (21:20:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/14 (21:20:23) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/14 (23:52:54) | ===> btop++ v.1.3.2
2024/08/14 (23:52:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/14 (23:52:54) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/15 (00:06:51) | ===> btop++ v.1.3.2
2024/08/15 (00:06:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/15 (00:06:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/15 (00:07:51) | ===> btop++ v.1.3.2
2024/08/15 (00:07:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/15 (00:07:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/15 (00:15:58) | ===> btop++ v.1.3.2
2024/08/15 (00:15:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/15 (00:15:58) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/15 (00:17:35) | ===> btop++ v.1.3.2
2024/08/15 (00:17:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/15 (00:17:35) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/15 (00:18:09) | ===> btop++ v.1.3.2
2024/08/15 (00:18:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/15 (00:18:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/15 (00:18:17) | ===> btop++ v.1.3.2
2024/08/15 (00:18:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/15 (00:18:17) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/15 (00:24:04) | ===> btop++ v.1.3.2
2024/08/15 (00:24:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/15 (00:24:04) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/15 (00:26:18) | ===> btop++ v.1.3.2
2024/08/15 (00:26:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/15 (00:26:18) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/15 (00:27:02) | ===> btop++ v.1.3.2
2024/08/15 (00:27:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/15 (00:27:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/15 (00:28:08) | ===> btop++ v.1.3.2
2024/08/15 (00:28:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/15 (00:28:08) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/15 (00:37:07) | ===> btop++ v.1.3.2
2024/08/15 (00:37:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/15 (00:37:07) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/15 (00:59:25) | ===> btop++ v.1.3.2
2024/08/15 (00:59:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/15 (00:59:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/15 (01:04:07) | ===> btop++ v.1.3.2
2024/08/15 (01:04:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/15 (01:04:07) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/15 (01:04:39) | ===> btop++ v.1.3.2
2024/08/15 (01:04:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/15 (01:04:39) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/15 (01:07:32) | ===> btop++ v.1.3.2
2024/08/15 (01:07:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/15 (01:07:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/15 (02:18:21) | ===> btop++ v.1.3.2
2024/08/15 (02:18:21) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/15 (02:18:21) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/15 (03:30:14) | ===> btop++ v.1.3.2
2024/08/15 (03:30:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/15 (03:30:14) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/17 (00:43:56) | ===> btop++ v.1.3.2
2024/08/17 (00:43:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/17 (00:43:56) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/17 (00:55:21) | ===> btop++ v.1.3.2
2024/08/17 (00:55:21) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/17 (00:55:21) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/17 (01:16:06) | ===> btop++ v.1.3.2
2024/08/17 (01:16:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/17 (01:16:06) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/17 (01:28:19) | ===> btop++ v.1.3.2
2024/08/17 (01:28:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/17 (01:28:19) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/18 (11:13:58) | ===> btop++ v.1.3.2
2024/08/18 (11:13:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/18 (11:13:58) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/18 (11:14:50) | ===> btop++ v.1.3.2
2024/08/18 (11:14:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/18 (11:14:50) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/18 (11:14:52) | ===> btop++ v.1.3.2
2024/08/18 (11:14:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/18 (11:14:52) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/18 (12:07:26) | ===> btop++ v.1.3.2
2024/08/18 (12:07:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/18 (12:07:26) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/18 (14:01:42) | ===> btop++ v.1.3.2
2024/08/18 (14:01:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/18 (14:01:42) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/20 (23:06:24) | ===> btop++ v.1.3.2
2024/08/20 (23:06:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/20 (23:06:24) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/20 (23:06:43) | ===> btop++ v.1.3.2
2024/08/20 (23:06:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/20 (23:06:43) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/27 (10:12:42) | ===> btop++ v.1.3.2
2024/08/27 (10:12:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/27 (10:12:42) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/28 (00:09:45) | ===> btop++ v.1.3.2
2024/08/28 (00:09:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/28 (00:09:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/29 (22:36:19) | ===> btop++ v.1.3.2
2024/08/29 (22:36:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/29 (22:36:19) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/30 (02:13:09) | ===> btop++ v.1.3.2
2024/08/30 (02:13:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/30 (02:13:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/31 (16:52:46) | ===> btop++ v.1.3.2
2024/08/31 (16:52:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/31 (16:52:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/31 (17:09:47) | ===> btop++ v.1.3.2
2024/08/31 (17:09:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/31 (17:09:47) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/31 (17:55:13) | ===> btop++ v.1.3.2
2024/08/31 (17:55:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/31 (17:55:13) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/31 (22:20:39) | ===> btop++ v.1.3.2
2024/08/31 (22:20:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/31 (22:20:39) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/21 (12:41:30) | ===> btop++ v.1.4.0
2024/12/21 (12:41:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/21 (12:41:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/23 (22:18:37) | ===> btop++ v.1.4.0
2024/12/23 (22:18:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/23 (22:18:37) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/25 (22:52:08) | ===> btop++ v.1.4.0
2024/12/25 (22:52:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/25 (22:52:08) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/17 (21:09:38) | ===> btop++ v.1.4.0
2025/01/17 (21:09:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/17 (21:09:38) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/25 (22:15:47) | ===> btop++ v.1.4.0
2025/01/25 (22:15:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/25 (22:15:47) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/30 (23:07:59) | ===> btop++ v.1.4.0
2025/01/30 (23:07:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/30 (23:07:59) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/05 (11:56:23) | ===> btop++ v.1.4.0
2025/02/05 (11:56:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/05 (11:56:23) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/10 (14:33:03) | ===> btop++ v.1.4.0
2025/02/10 (14:33:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/10 (14:33:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/11 (00:57:26) | ===> btop++ v.1.4.0
2025/02/11 (00:57:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/11 (00:57:26) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/11 (00:57:31) | ===> btop++ v.1.4.0
2025/02/11 (00:57:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/11 (00:57:31) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (01:30:51) | ===> btop++ v.1.4.0
2025/02/14 (01:30:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
